name,state,lat,lon,population
Veparala,Andhra Pradesh,14.85718,78.34806,6712
Kiadgira,Telangana,17.25255,77.43337,6711
Shivrajpur,Gujarat,22.42319,73.60865,6705
Anwari,Bihar,25.15324,83.62295,6702
Dabolim,Goa,15.39911,73.8559,6700
Sabathu,Himachal Pradesh,30.97494,76.99137,6691
Khaur,Jammu and Kashmir,32.6027,74.80918,6690
Rangapahar,Assam,25.85571,93.70516,6673
Ekangar Sarai,Bihar,25.2234,85.22978,6672
Donimalai Township,Karnataka,15.06041,76.59217,6672
Kandasar,Odisha,20.84161,85.14254,6668
Selattanpatti,Tamil Nadu,11.66275,78.0946,6659
Bheraghat,Madhya Pradesh,23.13168,79.80107,6657
Sheragada,Odisha,19.51301,84.60408,6653
Ammapattinam,Tamil Nadu,10.01534,79.23137,6652
Deomali,Arunachal Pradesh,27.1931,95.46719,6648
Narsapuram,Telangana,18.10044,78.88021,6647
Kambe,Maharashtra,19.31241,73.03638,6642
Barsur,Chhattisgarh,19.13556,81.38394,6636
Padghe,Maharashtra,19.36695,73.17581,6633
Verna,Goa,15.35479,73.92454,6632
Bhim Tal,Uttarakhand,29.34447,79.56336,6625
Bhuindhara,Bihar,25.85248,85.76055,6614
Takhlibilar Pathar,Assam,26.50036,90.93524,6611
Pondarkanali,Jharkhand,23.77018,86.35164,6611
Banda,Maharashtra,15.81181,73.86118,6611
Bontapalli,Telangana,17.66237,78.36396,6608
Aldona,Goa,15.59337,73.87482,6606
Alur,Karnataka,12.97805,75.99094,6604
Hiramandalam,Andhra Pradesh,18.67085,83.95054,6603
Naoghar,Maharashtra,18.89167,72.98567,6603
Kumbhkot,Rajasthan,24.61833,76.00077,6602
Aamadi,Chhattisgarh,20.77097,81.48991,6600
Lawa Sardargarh,Rajasthan,25.23922,73.98915,6600
Got,Uttar Pradesh,28.85105,78.83628,6599
Maro,Chhattisgarh,21.86665,81.85888,6596
